Year,Unemployment,GDP per capita,GDP (in Bil. US$nominal),GDP growth (real),Inflation rate,,,,
1980,7.20%,12552.9,2857.3,-0.30%,13.50%,,,,
1981,7.60%,13948.7,3207,2.50%,10.40%,,,,
1982,9.70%,14405,3343.8,-1.80%,6.20%,,,,
1983,9.60%,15513.7,3634,4.60%,3.20%,,,,
1984,7.50%,17086.4,4037.7,7.20%,4.40%,,,,
1985,7.20%,18199.3,4339,4.20%,3.50%,,,,
1986,7.00%,19034.8,4579.6,3.50%,1.90%,,,,
1987,6.20%,20001,4855.3,3.50%,3.60%,,,,
1988,5.50%,21376,5236.4,4.20%,4.10%,,,,
1989,5.30%,22814.1,5641.6,3.70%,4.80%,,,,
1990,5.60%,23848,5963.1,1.90%,5.40%,,,,
1991,6.90%,24302.8,6158.1,-0.10%,4.20%,,,,
1992,7.50%,25392.9,6520.3,3.50%,3.00%,,,,
1993,6.90%,26364.2,6858.6,2.80%,3.00%,,,,
1994,6.10%,27674,7287.3,4.00%,2.60%,,,,
1995,5.60%,28671.5,7639.8,2.70%,2.80%,,,,
1996,5.40%,29947,8073.1,3.80%,2.90%,,,,
1997,4.90%,31440.1,8577.6,4.40%,2.30%,,,,
1998,4.50%,32833.7,9062.8,4.50%,1.50%,,,,
1999,4.20%,34496.2,9631.2,4.80%,2.20%,,,,
2000,4.00%,36312.8,10251,4.10%,3.40%,,,,
2001,4.70%,37101.5,10581.9,1.00%,2.80%,,,,
2002,5.80%,37945.8,10929.1,1.70%,1.60%,,,,
2003,6.00%,39405.4,11456.5,2.80%,2.30%,,,,
2004,5.50%,41641.6,12217.2,3.90%,2.70%,,,,
2005,5.10%,44034.3,13039.2,3.50%,3.40%,,,,
2006,4.60%,46216.9,13815.6,2.80%,3.20%,,,,
2007,4.60%,47943.4,14474.3,2.00%,2.90%,,,,
2008,5.80%,48470.6,14769.9,0.10%,3.80%,,,,
2009,9.30%,47102.4,14478.1,-2.60%,-0.30%,,,,
2010,9.60%,48586.3,15049,2.70%,1.60%,,,,
2011,8.90%,50008.1,15599.7,1.60%,3.10%,,,,
2012,8.10%,51736.7,16254,2.30%,2.10%,,,,
2013,7.40%,53245.5,16843.2,1.80%,1.50%,,,,
2014,6.20%,55083.5,17550.7,2.30%,1.60%,,,,
2015,5.30%,56729.7,18206,2.70%,0.10%,,,,
2016,4.90%,57840,18695.1,1.70%,1.30%,,,,
2017,4.40%,59885.7,19479.6,2.30%,2.10%,,,,
2018,3.90%,62769.7,20527.2,2.90%,2.40%,,,,
2019,3.70%,65051.9,21372.6,2.30%,1.80%,,,,
2020,8.10%,63078.5,20893.8,-3.40%,1.20%,,,,
2021,5.40%,69227.1,22996.1,5.70%,4.70%,,,,
2022,3.70%,75179.6,25035.2,1.60%,8.10%,,,,
2023,4.60%,78421.9,26185.2,1.00%,3.50%,,,,
2024,5.40%,80779.3,27057.2,1.20%,2.20%,,,,
2025,5.40%,83463.2,28045.3,1.80%,2.00%,,,,
2026,4.90%,86521.2,29165.5,2.10%,2.00%,,,,
2027,4.70%,89546.4,30281.5,1.90%,2.00%,,,,
